Left,Right,Operation,Object
resportar,>,INS,s
rtar,>,INS,s
ar,>,INS,esti
portar,>,INS,s
resportar,>,INS,e
r,>,INS,sti
ar,>,INS,i
r,>,INS,e
ortar,>,INS,i
portar,>,INS,i
r,>,INS,ti
tar,>,INS,i
rtar,>,INS,i
r,>,INS,es
tar,>,INS,es
rtar,>,INS,es
tresportar,>,INS,e
tar,>,INS,sti
tar,>,INS,esti
ortar,>,INS,es
sportar,>,INS,s
portar,>,INS,e
r,>,INS,s
ir,>,INS,mos
tir,>,INS,e
tir,>,INS,emos
omitir,>,INS,e
omitir,>,INS,í
r,>,INS,mos
ir,>,INS,s
r,>,INS,í
r,>,INS,emos
ir,>,INS,íemos
tir,>,INS,í
r,>,INS,os
tir,>,INS,s
r,>,INS,o
mitir,>,INS,o
ir,>,INS,emos
<omitir,>,INS,í
ir,>,INS,e
ir,>,INS,os
mitir,>,INS,í
r,>,INS,íemos
r,>,INS,e
itir,>,INS,s
mitir,>,INS,s
itir,>,INS,e
tir,>,INS,o
itir,>,INS,í
omitir,>,INS,o
tir,>,INS,os
<omitir,>,INS,o
tir,>,INS,mos
ir,>,INS,o
ir,>,INS,í
omitir,>,INS,s
mitir,>,INS,e
<omitir,>,INS,e
<omitir,>,INS,s
itir,>,INS,o
ar,>,INS,s
zar,>,INS,e
r,>,INS,e
zar,>,INS,s
r,>,INS,s
nazar,>,INS,e
<amenazar,>,INS,s
ar,>,INS,e
azar,>,INS,es
menazar,>,INS,e
azar,>,INS,s
r,>,INS,es
zar,>,INS,es
menazar,>,INS,s
enazar,>,INS,e
amenazar,>,INS,e
<amenazar,>,INS,e
ar,>,INS,es
nazar,>,INS,s
enazar,>,INS,s
azar,>,INS,e
amenazar,>,INS,s
onar,>,INS,os
icionar,>,INS,s
cionar,>,INS,o
coleicionar,>,INS,e
onar,>,INS,mos
r,>,INS,s
onar,>,INS,e
cionar,>,INS,s
oleicionar,>,INS,o
r,>,INS,mos
leicionar,>,INS,o
ionar,>,INS,e
eicionar,>,INS,e
ionar,>,INS,os
r,>,INS,emos
ar,>,INS,emos
r,>,INS,o
icionar,>,INS,e
r,>,INS,e
ar,>,INS,e
eicionar,>,INS,s
ionar,>,INS,s
leicionar,>,INS,s
ar,>,INS,os
nar,>,INS,mos
ionar,>,INS,mos
oleicionar,>,INS,e
<coleicionar,>,INS,o
ar,>,INS,mos
coleicionar,>,INS,s
cionar,>,INS,e
onar,>,INS,s
coleicionar,>,INS,o
nar,>,INS,emos
cionar,>,INS,os
cionar,>,INS,mos
oleicionar,>,INS,s
icionar,>,INS,o
nar,>,INS,s
r,>,INS,os
cionar,>,INS,emos
nar,>,INS,e
onar,>,INS,emos
nar,>,INS,o
nar,>,INS,os
ar,>,INS,o
<coleicionar,>,INS,s
onar,>,INS,o
<coleicionar,>,INS,e
ionar,>,INS,o
eicionar,>,INS,o
leicionar,>,INS,e
ionar,>,INS,emos
ar,>,INS,s
er,>,INS,n
<traer,>,INS,e
r,>,INS,en
aer,>,INS,y
r,>,INS,e
aer,>,INS,en
er,>,INS,y
raer,>,INS,y
traer,>,INS,e
r,>,INS,n
<traer,>,INS,y
er,>,INS,e
aer,>,INS,n
aer,>,INS,e
r,>,INS,y
traer,>,INS,y
er,>,INS,en
raer,>,INS,e
aer,>,INS,i
aer,>,INS,é
r,>,INS,é
r,>,INS,céis
r,>,INS,s
er,>,INS,éis
er,>,INS,c
er,>,INS,éi
er,>,INS,i
faer,>,INS,c
<faer,>,INS,i
<faer,>,INS,c
<faer,>,INS,é
er,>,INS,é
r,>,INS,i
aer,>,INS,c
faer,>,INS,s
r,>,INS,cé
r,>,INS,éis
er,>,INS,s
faer,>,INS,i
faer,>,INS,é
r,>,INS,éi
<faer,>,INS,s
r,>,INS,c
aer,>,INS,s
plegar,>,INS,a
<plegar,>,INS,a
gar,>,INS,a
legar,>,INS,a
egar,>,INS,a
ar,>,INS,a
r,>,INS,a
ar,>,INS,s
dar,>,INS,s
<treslladar,>,INS,s
eslladar,>,INS,s
dar,>,INS,e
ar,>,INS,íes
r,>,INS,e
adar,>,INS,s
r,>,INS,s
r,>,INS,íes
adar,>,INS,e
ar,>,INS,e
dar,>,INS,íes
r,>,INS,es
dar,>,INS,í
ladar,>,INS,s
ladar,>,INS,e
eslladar,>,INS,e
adar,>,INS,í
treslladar,>,INS,s
r,>,INS,í
<treslladar,>,INS,e
slladar,>,INS,e
lladar,>,INS,s
ar,>,INS,es
reslladar,>,INS,s
treslladar,>,INS,e
slladar,>,INS,s
dar,>,INS,es
reslladar,>,INS,e
adar,>,INS,es
ar,>,INS,í
lladar,>,INS,e
r,>,INS,en
ar,>,INS,en
ibar,>,INS,e
r,>,INS,n
r,>,INS,e
ribar,>,INS,e
cribar,>,INS,e
bar,>,INS,e
ar,>,INS,e
<cribar,>,INS,e
ar,>,INS,n
bar,>,INS,n
saminar,>,INS,os
aminar,>,INS,o
minar,>,INS,os
aminar,>,INS,os
inar,>,INS,áremos
esaminar,>,INS,os
nar,>,INS,remos
r,>,INS,s
nar,>,INS,s
saminar,>,INS,e
ar,>,INS,á
saminar,>,INS,o
inar,>,INS,e
<esaminar,>,INS,os
nar,>,INS,mos
r,>,INS,remos
<esaminar,>,INS,s
saminar,>,INS,s
ar,>,INS,s
r,>,INS,o
r,>,INS,emos
r,>,INS,áremos
<esaminar,>,INS,e
r,>,INS,e
nar,>,INS,á
inar,>,INS,os
ar,>,INS,remos
aminar,>,INS,s
inar,>,INS,o
inar,>,INS,á
ar,>,INS,mos
inar,>,INS,emos
r,>,INS,mos
aminar,>,INS,e
ar,>,INS,os
r,>,INS,á
nar,>,INS,e
inar,>,INS,s
r,>,INS,os
inar,>,INS,mos
ar,>,INS,emos
inar,>,INS,remos
esaminar,>,INS,s
<esaminar,>,INS,o
minar,>,INS,á
minar,>,INS,s
esaminar,>,INS,e
minar,>,INS,mos
ar,>,INS,o
ar,>,INS,e
nar,>,INS,o
minar,>,INS,e
esaminar,>,INS,o
nar,>,INS,os
minar,>,INS,o
nar,>,INS,emos
nar,>,INS,áremos
ar,>,INS,áremos
rir,>,INS,amos
ir,>,INS,é
ir,>,INS,os
nrir,>,INS,s
onrir,>,INS,a
sonrir,>,INS,o
ir,>,INS,éramos
onrir,>,INS,s
rir,>,INS,mos
ir,>,INS,o
sonrir,>,INS,s
ir,>,INS,ramos
r,>,INS,éramos
<sonrir,>,INS,o
rir,>,INS,s
rir,>,INS,a
rir,>,INS,o
<sonrir,>,INS,s
<sonrir,>,INS,a
r,>,INS,ramos
ir,>,INS,mos
r,>,INS,é
rir,>,INS,os
ir,>,INS,s
r,>,INS,os
r,>,INS,amos
nrir,>,INS,a
r,>,INS,mos
ir,>,INS,amos
rir,>,INS,é
sonrir,>,INS,a
r,>,INS,a
nrir,>,INS,o
r,>,INS,o
ir,>,INS,a
r,>,INS,s
onrir,>,INS,o
r,>,INS,a
anar,>,INS,í
anar,>,INS,a
<arranar,>,INS,a
nar,>,INS,í
ar,>,INS,ía
ar,>,INS,í
nar,>,INS,ía
ranar,>,INS,a
ar,>,INS,a
r,>,INS,í
nar,>,INS,a
rranar,>,INS,a
arranar,>,INS,a
r,>,INS,ía
<facer,>,INS,i
facer,>,INS,fi
facer,>,INS,o
cer,>,INS,i
<facer,>,INS,fi
cer,>,INS,o
r,>,INS,z
r,>,INS,i
r,>,INS,ix
er,>,INS,x
facer,>,INS,i
er,>,INS,o
cer,>,INS,z
r,>,INS,fi
acer,>,INS,i
cer,>,INS,fi
er,>,INS,z
<facer,>,INS,o
er,>,INS,i
r,>,INS,x
r,>,INS,o
acer,>,INS,o
er,>,INS,fi
acer,>,INS,fi
er,>,INS,ix
limentar,>,INS,o
ntar,>,INS,o
<alimentar,>,INS,o
imentar,>,INS,o
mentar,>,INS,o
alimentar,>,INS,o
r,>,INS,o
entar,>,INS,o
ar,>,INS,o
tar,>,INS,o
tar,>,INS,a
antar,>,INS,a
lantar,>,INS,a
ar,>,INS,a
<plantar,>,INS,a
r,>,INS,a
ntar,>,INS,a
plantar,>,INS,a
<cegar,>,INS,s
r,>,INS,remos
gar,>,INS,mos
ar,>,INS,remos
egar,>,INS,mos
gar,>,INS,áremos
r,>,INS,á
ar,>,INS,emos
ar,>,INS,e
r,>,INS,o
ar,>,INS,á
ar,>,INS,os
gar,>,INS,os
cegar,>,INS,e
gar,>,INS,s
ar,>,INS,s
egar,>,INS,o
gar,>,INS,emos
r,>,INS,os
egar,>,INS,e
gar,>,INS,remos
egar,>,INS,s
r,>,INS,emos
gar,>,INS,e
r,>,INS,mos
ar,>,INS,o
<cegar,>,INS,e
ar,>,INS,mos
gar,>,INS,á
egar,>,INS,emos
r,>,INS,e
egar,>,INS,os
r,>,INS,áremos
r,>,INS,s
gar,>,INS,o
egar,>,INS,á
cegar,>,INS,s
ar,>,INS,áremos
ar,>,INS,á
r,>,INS,á
lar,>,INS,á
llar,>,INS,á
nudar,>,INS,a
ar,>,INS,o
rnudar,>,INS,s
dar,>,INS,á
<estornudar,>,INS,a
r,>,INS,áramos
stornudar,>,INS,s
ornudar,>,INS,s
tornudar,>,INS,a
r,>,INS,o
r,>,INS,a
ar,>,INS,ramos
ar,>,INS,á
ar,>,INS,amos
dar,>,INS,áramos
ar,>,INS,áramos
stornudar,>,INS,a
udar,>,INS,á
udar,>,INS,amos
ar,>,INS,mos
ar,>,INS,a
udar,>,INS,o
estornudar,>,INS,a
dar,>,INS,o
estornudar,>,INS,s
r,>,INS,ramos
ar,>,INS,os
udar,>,INS,a
r,>,INS,os
dar,>,INS,a
dar,>,INS,ramos
r,>,INS,mos
dar,>,INS,os
tornudar,>,INS,s
ornudar,>,INS,a
ar,>,INS,s
dar,>,INS,mos
udar,>,INS,os
udar,>,INS,mos
rnudar,>,INS,a
r,>,INS,s
dar,>,INS,amos
<estornudar,>,INS,s
r,>,INS,amos
r,>,INS,á
nudar,>,INS,s
udar,>,INS,s
dar,>,INS,s
gar,>,INS,ía
agar,>,INS,a
r,>,INS,ía
r,>,INS,a
ar,>,INS,ía
<tragar,>,INS,a
ar,>,INS,a
tragar,>,INS,a
r,>,INS,í
gar,>,INS,a
ragar,>,INS,a
agar,>,INS,í
gar,>,INS,í
ar,>,INS,í
utar,>,INS,n
tar,>,INS,n
r,>,INS,n
ar,>,INS,n
r,>,INS,os
argar,>,INS,s
ar,>,INS,mos
largar,>,INS,e
ar,>,INS,e
rgar,>,INS,e
llargar,>,INS,o
gar,>,INS,ue
largar,>,INS,s
largar,>,INS,o
rgar,>,INS,o
ar,>,INS,o
llargar,>,INS,e
<allargar,>,INS,s
gar,>,INS,emos
rgar,>,INS,ue
gar,>,INS,mos
r,>,INS,uemos
r,>,INS,ue
gar,>,INS,s
rgar,>,INS,os
r,>,INS,e
argar,>,INS,o
ar,>,INS,s
gar,>,INS,uemos
rgar,>,INS,s
gar,>,INS,os
gar,>,INS,e
ar,>,INS,os
<allargar,>,INS,e
rgar,>,INS,mos
ar,>,INS,uemos
allargar,>,INS,s
llargar,>,INS,s
ar,>,INS,emos
r,>,INS,emos
r,>,INS,s
allargar,>,INS,o
ar,>,INS,ue
r,>,INS,mos
argar,>,INS,e
allargar,>,INS,e
r,>,INS,o
gar,>,INS,o
<allargar,>,INS,o
r,>,INS,e
ar,>,INS,n
ceutar,>,INS,e
aceutar,>,INS,e
ar,>,INS,e
utar,>,INS,n
ar,>,INS,en
<aceutar,>,INS,e
ceutar,>,INS,n
r,>,INS,n
r,>,INS,en
tar,>,INS,n
<aceutar,>,INS,n
utar,>,INS,en
utar,>,INS,e
aceutar,>,INS,n
eutar,>,INS,n
tar,>,INS,e
tar,>,INS,en
eutar,>,INS,e
<fartucar,>,INS,e
rtucar,>,INS,e
artucar,>,INS,e
car,>,INS,e
ar,>,INS,e
ucar,>,INS,e
r,>,INS,e
fartucar,>,INS,e
tucar,>,INS,e
ir,>,INS,mos
r,>,INS,o
r,>,INS,os
ir,>,INS,a
r,>,INS,mos
dir,>,INS,o
dir,>,INS,s
ecidir,>,INS,a
cidir,>,INS,o
r,>,INS,é
cidir,>,INS,a
r,>,INS,s
decidir,>,INS,o
decidir,>,INS,a
ir,>,INS,éramos
ecidir,>,INS,o
<decidir,>,INS,a
idir,>,INS,o
ir,>,INS,ramos
r,>,INS,éramos
ir,>,INS,é
ir,>,INS,amos
<decidir,>,INS,s
idir,>,INS,s
<decidir,>,INS,o
decidir,>,INS,s
dir,>,INS,a
ir,>,INS,s
ir,>,INS,o
r,>,INS,amos
idir,>,INS,a
ir,>,INS,os
dir,>,INS,os
r,>,INS,ramos
cidir,>,INS,s
r,>,INS,a
dir,>,INS,mos
ecidir,>,INS,s
r,>,INS,éis
ar,>,INS,s
dar,>,INS,s
r,>,INS,i
<convidar,>,INS,s
r,>,INS,s
ar,>,INS,éis
nvidar,>,INS,s
vidar,>,INS,i
dar,>,INS,éi
convidar,>,INS,s
<convidar,>,INS,i
ar,>,INS,i
idar,>,INS,i
vidar,>,INS,s
dar,>,INS,éis
ar,>,INS,é
ar,>,INS,éi
r,>,INS,éi
onvidar,>,INS,s
nvidar,>,INS,i
dar,>,INS,é
convidar,>,INS,i
dar,>,INS,i
onvidar,>,INS,i
r,>,INS,é
idar,>,INS,s
rayer,>,INS,í
er,>,INS,ía
er,>,INS,a
ayer,>,INS,a
er,>,INS,í
trayer,>,INS,í
<trayer,>,INS,í
r,>,INS,ía
ayer,>,INS,í
r,>,INS,a
yer,>,INS,í
<trayer,>,INS,a
trayer,>,INS,a
yer,>,INS,ía
yer,>,INS,a
r,>,INS,í
rayer,>,INS,a
nciar,>,INS,e
iar,>,INS,e
canciar,>,INS,e
<escanciar,>,INS,e
scanciar,>,INS,e
anciar,>,INS,e
ciar,>,INS,e
ar,>,INS,e
r,>,INS,e
escanciar,>,INS,e
ar,>,INS,n
ar,>,INS,e
redar,>,INS,e
dar,>,INS,n
heredar,>,INS,e
r,>,INS,en
edar,>,INS,e
r,>,INS,e
ar,>,INS,en
eredar,>,INS,e
r,>,INS,n
dar,>,INS,en
<heredar,>,INS,e
dar,>,INS,e
r,>,INS,o
er,>,INS,ndo
er,>,INS,do
oyer,>,INS,o
coyer,>,INS,o
r,>,INS,ndo
r,>,INS,n
yer,>,INS,o
r,>,INS,do
coyer,>,INS,n
oyer,>,INS,n
er,>,INS,o
er,>,INS,n
yer,>,INS,n
r,>,INS,a
<moyar,>,INS,a
moyar,>,INS,a
oyar,>,INS,a
yar,>,INS,a
ar,>,INS,a
ar,>,INS,da
r,>,INS,da
r,>,INS,a
allistar,>,INS,a
listar,>,INS,a
<allistar,>,INS,a
tar,>,INS,a
llistar,>,INS,a
star,>,INS,a
istar,>,INS,a
ar,>,INS,a
mar,>,INS,en
umar,>,INS,e
r,>,INS,n
ar,>,INS,en
mar,>,INS,e
mar,>,INS,n
afumar,>,INS,e
<afumar,>,INS,e
r,>,INS,en
ar,>,INS,e
ar,>,INS,n
fumar,>,INS,n
r,>,INS,e
umar,>,INS,n
umar,>,INS,en
fumar,>,INS,e
ar,>,INS,á
tar,>,INS,á
r,>,INS,á
ir,>,INS,es
tir,>,INS,es
ir,>,INS,s
stir,>,INS,s
r,>,INS,í
istir,>,INS,e
istir,>,INS,s
stir,>,INS,í
xistir,>,INS,s
<existir,>,INS,e
existir,>,INS,í
tir,>,INS,e
ir,>,INS,e
ir,>,INS,íes
stir,>,INS,e
r,>,INS,e
xistir,>,INS,e
ir,>,INS,í
tir,>,INS,íes
<existir,>,INS,s
tir,>,INS,s
tir,>,INS,í
xistir,>,INS,í
existir,>,INS,e
<existir,>,INS,í
existir,>,INS,s
istir,>,INS,í
r,>,INS,s
r,>,INS,íes
r,>,INS,es
r,>,INS,o
r,>,INS,s
escribir,>,INS,s
<escribir,>,INS,a
bir,>,INS,s
cribir,>,INS,a
ir,>,INS,o
scribir,>,INS,a
ir,>,INS,amos
cribir,>,INS,s
r,>,INS,os
ribir,>,INS,a
ibir,>,INS,s
r,>,INS,a
ir,>,INS,mos
scribir,>,INS,s
ir,>,INS,s
ibir,>,INS,a
bir,>,INS,a
ribir,>,INS,s
escribir,>,INS,a
ir,>,INS,a
r,>,INS,mos
r,>,INS,amos
<escribir,>,INS,s
ir,>,INS,os
lar,>,INS,á
r,>,INS,á
ar,>,INS,á
ar,>,INS,áu
r,>,INS,áu
olar,>,INS,á
lar,>,INS,áu
r,>,INS,stis
r,>,INS,sti
upar,>,INS,e
par,>,INS,i
ar,>,INS,ti
rupar,>,INS,s
ar,>,INS,estis
r,>,INS,e
r,>,INS,es
agrupar,>,INS,e
r,>,INS,ti
par,>,INS,ti
ar,>,INS,e
par,>,INS,s
r,>,INS,tis
grupar,>,INS,e
par,>,INS,sti
r,>,INS,s
grupar,>,INS,s
agrupar,>,INS,s
ar,>,INS,tis
par,>,INS,es
ar,>,INS,sti
<agrupar,>,INS,s
upar,>,INS,s
<agrupar,>,INS,e
r,>,INS,esti
par,>,INS,e
ar,>,INS,s
ar,>,INS,es
ar,>,INS,stis
r,>,INS,estis
ar,>,INS,i
r,>,INS,i
ar,>,INS,esti
rupar,>,INS,e
uxar,>,INS,e
ar,>,INS,en
r,>,INS,n
ar,>,INS,n
xar,>,INS,n
xar,>,INS,en
r,>,INS,e
<puxar,>,INS,e
ar,>,INS,e
puxar,>,INS,e
xar,>,INS,e
uxar,>,INS,n
r,>,INS,en
pangar,>,INS,s
gar,>,INS,eis
r,>,INS,eis
ar,>,INS,eis
ngar,>,INS,i
gar,>,INS,beis
ompangar,>,INS,e
angar,>,INS,s
ompangar,>,INS,s
r,>,INS,beis
r,>,INS,e
ngar,>,INS,s
ar,>,INS,i
ar,>,INS,beis
pangar,>,INS,e
mpangar,>,INS,e
gar,>,INS,s
gar,>,INS,i
angar,>,INS,e
<acompangar,>,INS,s
ar,>,INS,s
mpangar,>,INS,s
compangar,>,INS,e
gar,>,INS,e
r,>,INS,s
ngar,>,INS,e
compangar,>,INS,s
r,>,INS,i
acompangar,>,INS,e
acompangar,>,INS,s
<acompangar,>,INS,e
ar,>,INS,e
ar,>,INS,án
gar,>,INS,án
gar,>,INS,á
ar,>,INS,n
egar,>,INS,n
egar,>,INS,á
ar,>,INS,á
r,>,INS,án
r,>,INS,n
plegar,>,INS,n
legar,>,INS,n
<plegar,>,INS,n
gar,>,INS,n
r,>,INS,á
r,>,INS,a
egalizar,>,INS,a
legalizar,>,INS,a
izar,>,INS,a
alizar,>,INS,a
<llegalizar,>,INS,a
llegalizar,>,INS,a
galizar,>,INS,a
ar,>,INS,a
lizar,>,INS,a
zar,>,INS,a
ugar,>,INS,i
ar,>,INS,s
r,>,INS,ai
ugar,>,INS,ai
gar,>,INS,bais
ar,>,INS,a
ar,>,INS,i
r,>,INS,bais
gar,>,INS,i
ugar,>,INS,ba
gar,>,INS,a
ar,>,INS,bais
ensugar,>,INS,s
r,>,INS,ais
r,>,INS,s
gar,>,INS,ais
ar,>,INS,ai
nsugar,>,INS,s
gar,>,INS,s
ugar,>,INS,s
r,>,INS,ba
r,>,INS,a
<ensugar,>,INS,s
ar,>,INS,ais
ugar,>,INS,a
sugar,>,INS,s
ar,>,INS,ba
ugar,>,INS,ais
gar,>,INS,ba
r,>,INS,i
gar,>,INS,ai
coyer,>,INS,á
yer,>,INS,n
er,>,INS,n
coyer,>,INS,n
er,>,INS,á
r,>,INS,á
r,>,INS,án
scoyer,>,INS,n
oyer,>,INS,á
r,>,INS,n
<escoyer,>,INS,n
yer,>,INS,á
escoyer,>,INS,n
er,>,INS,án
oyer,>,INS,n
<atragantar,>,INS,s
ragantar,>,INS,s
tar,>,INS,éis
gantar,>,INS,i
ar,>,INS,s
tar,>,INS,i
ar,>,INS,éis
<atragantar,>,INS,i
ar,>,INS,éi
tar,>,INS,é
ragantar,>,INS,i
antar,>,INS,é
r,>,INS,éis
tar,>,INS,éi
antar,>,INS,s
ntar,>,INS,i
r,>,INS,é
ntar,>,INS,éi
ntar,>,INS,é
antar,>,INS,éi
ar,>,INS,i
antar,>,INS,éis
agantar,>,INS,i
atragantar,>,INS,s
ntar,>,INS,s
agantar,>,INS,s
ntar,>,INS,éis
atragantar,>,INS,i
antar,>,INS,i
ar,>,INS,é
tragantar,>,INS,s
r,>,INS,i
gantar,>,INS,s
r,>,INS,s
tragantar,>,INS,i
r,>,INS,éi
tar,>,INS,s
r,>,INS,os
ar,>,INS,emos
car,>,INS,mos
lucar,>,INS,mos
r,>,INS,o
clucar,>,INS,o
r,>,INS,e
sclucar,>,INS,o
ucar,>,INS,s
ar,>,INS,o
ar,>,INS,os
ucar,>,INS,os
lucar,>,INS,s
<esclucar,>,INS,e
ar,>,INS,e
esclucar,>,INS,o
clucar,>,INS,e
car,>,INS,e
car,>,INS,emos
r,>,INS,emos
sclucar,>,INS,s
lucar,>,INS,e
car,>,INS,o
r,>,INS,s
esclucar,>,INS,e
<esclucar,>,INS,o
ar,>,INS,mos
esclucar,>,INS,s
sclucar,>,INS,e
lucar,>,INS,o
ucar,>,INS,o
ucar,>,INS,mos
<esclucar,>,INS,s
car,>,INS,s
lucar,>,INS,emos
ucar,>,INS,emos
r,>,INS,mos
ar,>,INS,s
ucar,>,INS,e
car,>,INS,os
lucar,>,INS,os
clucar,>,INS,s
ucar,>,INS,n
car,>,INS,en
ar,>,INS,ben
r,>,INS,ben
ar,>,INS,en
r,>,INS,n
ucar,>,INS,en
car,>,INS,e
ar,>,INS,e
ablucar,>,INS,e
lucar,>,INS,n
blucar,>,INS,e
r,>,INS,en
ucar,>,INS,e
ar,>,INS,n
car,>,INS,n
car,>,INS,ben
lucar,>,INS,e
<ablucar,>,INS,e
r,>,INS,e
ar,>,INS,a
ar,>,INS,da
ntar,>,INS,a
tar,>,INS,a
tar,>,INS,da
antar,>,INS,a
r,>,INS,da
r,>,INS,a
r,>,INS,o
ar,>,INS,on
r,>,INS,on
r,>,INS,n
ar,>,INS,o
sar,>,INS,o
ar,>,INS,n
asar,>,INS,o
asar,>,INS,n
sar,>,INS,on
sar,>,INS,n
onxelar,>,INS,e
conxelar,>,INS,e
r,>,INS,n
r,>,INS,en
ar,>,INS,n
lar,>,INS,n
r,>,INS,ben
xelar,>,INS,e
lar,>,INS,ben
nxelar,>,INS,e
lar,>,INS,e
ar,>,INS,en
elar,>,INS,n
r,>,INS,e
ar,>,INS,e
lar,>,INS,en
<conxelar,>,INS,e
elar,>,INS,e
xelar,>,INS,n
ar,>,INS,ben
ar,>,INS,ba
r,>,INS,ba
semar,>,INS,a
mar,>,INS,a
<semar,>,INS,a
r,>,INS,a
ar,>,INS,a
mar,>,INS,ba
emar,>,INS,a
r,>,INS,i
iar,>,INS,a
ografiar,>,INS,i
iar,>,INS,ai
ar,>,INS,ba
otografiar,>,INS,i
afiar,>,INS,i
fotografiar,>,INS,i
ar,>,INS,ais
ografiar,>,INS,a
r,>,INS,a
r,>,INS,ba
iar,>,INS,i
grafiar,>,INS,i
ar,>,INS,bais
afiar,>,INS,a
iar,>,INS,bais
fiar,>,INS,a
fotografiar,>,INS,s
r,>,INS,ais
iar,>,INS,ba
otografiar,>,INS,s
tografiar,>,INS,a
grafiar,>,INS,s
rafiar,>,INS,a
ografiar,>,INS,s
r,>,INS,bais
fiar,>,INS,s
otografiar,>,INS,a
ar,>,INS,ai
fotografiar,>,INS,a
afiar,>,INS,s
r,>,INS,ai
r,>,INS,s
grafiar,>,INS,a
<fotografiar,>,INS,i
<fotografiar,>,INS,a
iar,>,INS,ais
tografiar,>,INS,s
<fotografiar,>,INS,s
tografiar,>,INS,i
ar,>,INS,i
ar,>,INS,a
rafiar,>,INS,i
ar,>,INS,s
iar,>,INS,s
rafiar,>,INS,s
fiar,>,INS,i
r,>,INS,e
ailar,>,INS,e
lar,>,INS,n
ar,>,INS,e
lar,>,INS,en
bailar,>,INS,e
ar,>,INS,n
<bailar,>,INS,e
ar,>,INS,en
lar,>,INS,e
ilar,>,INS,en
r,>,INS,en
ilar,>,INS,n
r,>,INS,n
ilar,>,INS,e
r,>,INS,e
rar,>,INS,e
averar,>,INS,e
<averar,>,INS,e
ar,>,INS,e
erar,>,INS,e
verar,>,INS,e
ar,>,INS,s
<matar,>,INS,s
tar,>,INS,s
r,>,INS,s
matar,>,INS,s
atar,>,INS,s
r,>,INS,o
ar,>,INS,on
r,>,INS,on
r,>,INS,n
eñar,>,INS,n
eñar,>,INS,o
ñar,>,INS,o
ar,>,INS,n
ar,>,INS,o
ñar,>,INS,n
dir,>,INS,e
ir,>,INS,e
<decidir,>,INS,e
cidir,>,INS,e
r,>,INS,e
decidir,>,INS,e
ecidir,>,INS,e
idir,>,INS,e
ar,>,INS,an
acabar,>,INS,a
bar,>,INS,a
bar,>,INS,n
ar,>,INS,n
r,>,INS,an
r,>,INS,a
cabar,>,INS,a
r,>,INS,n
abar,>,INS,a
<acabar,>,INS,a
ar,>,INS,a
ar,>,INS,íen
emprimar,>,INS,e
imar,>,INS,e
r,>,INS,e
ar,>,INS,n
r,>,INS,íen
mprimar,>,INS,e
ar,>,INS,e
mar,>,INS,n
primar,>,INS,e
ar,>,INS,en
ar,>,INS,í
r,>,INS,n
mar,>,INS,í
r,>,INS,en
rimar,>,INS,e
r,>,INS,í
mar,>,INS,e
<emprimar,>,INS,e
mar,>,INS,en
entrar,>,INS,s
ar,>,INS,s
rar,>,INS,s
r,>,INS,s
ntrar,>,INS,s
trar,>,INS,s
<entrar,>,INS,s
ceutar,>,INS,n
tar,>,INS,ndo
r,>,INS,do
utar,>,INS,o
aceutar,>,INS,n
<aceutar,>,INS,n
tar,>,INS,n
ar,>,INS,do
ar,>,INS,o
r,>,INS,ndo
eutar,>,INS,o
r,>,INS,n
eutar,>,INS,n
r,>,INS,o
ar,>,INS,ndo
utar,>,INS,n
ar,>,INS,n
tar,>,INS,do
tar,>,INS,o
oxigar,>,INS,s
ar,>,INS,i
xigar,>,INS,s
oxigar,>,INS,i
ar,>,INS,s
r,>,INS,éis
espoxigar,>,INS,i
r,>,INS,i
spoxigar,>,INS,s
<espoxigar,>,INS,s
r,>,INS,s
gar,>,INS,i
ar,>,INS,éis
poxigar,>,INS,s
<espoxigar,>,INS,i
gar,>,INS,éis
gar,>,INS,s
espoxigar,>,INS,s
spoxigar,>,INS,i
ar,>,INS,éi
gar,>,INS,é
xigar,>,INS,i
igar,>,INS,s
r,>,INS,éi
poxigar,>,INS,i
ar,>,INS,é
r,>,INS,é
igar,>,INS,i
gar,>,INS,éi
ar,>,INS,s
inar,>,INS,i
ar,>,INS,é
<imaxinar,>,INS,s
r,>,INS,éi
r,>,INS,i
inar,>,INS,é
axinar,>,INS,s
nar,>,INS,éi
nar,>,INS,s
maxinar,>,INS,s
nar,>,INS,éis
imaxinar,>,INS,i
inar,>,INS,éis
ar,>,INS,éis
ar,>,INS,i
xinar,>,INS,i
nar,>,INS,é
nar,>,INS,i
imaxinar,>,INS,s
r,>,INS,s
xinar,>,INS,s
<imaxinar,>,INS,i
maxinar,>,INS,i
inar,>,INS,s
r,>,INS,éis
r,>,INS,é
ar,>,INS,éi
axinar,>,INS,i
inar,>,INS,éi
ar,>,INS,o
<llantar,>,INS,n
ntar,>,INS,o
tar,>,INS,do
ar,>,INS,ndo
llantar,>,INS,n
llantar,>,INS,o
lantar,>,INS,o
r,>,INS,ndo
r,>,INS,o
antar,>,INS,o
ntar,>,INS,n
antar,>,INS,n
lantar,>,INS,n
tar,>,INS,n
tar,>,INS,o
<llantar,>,INS,o
ar,>,INS,do
tar,>,INS,ndo
r,>,INS,do
r,>,INS,n
ar,>,INS,n
<esperar,>,INS,s
ar,>,INS,i
perar,>,INS,e
sperar,>,INS,s
rar,>,INS,beis
rar,>,INS,s
r,>,INS,i
erar,>,INS,s
