Left;Right;Operation;Object;MorphFeatures;Weight
sõnā;>;INS;n;N,SG,DAT;0.000194089
ā;>;INS;ņži;N,PL,IN+ALL;0.000191393
sõnā;>;INS;ņšti;N,PL,IN+ABL;0.000189972
ū;>;INS;n;N,SG,DAT;0.00018942
alli;>;INS;īzõst;ADJ,SG,IN+ABL;0.000188916
sadā;>;DEL;z;ADJ,PL,NOM;0.00018831
<;lda>;DEL;tū;V,ACT,FIN,IND,NEG,FUT,PRF,SG,2;0.000188142
ŗm;>;DEL;īez;N,PL,IN+ESS;0.000187964
az;>;INS;ouvõ;N,SG,GEN;0.000187826
ām;>;INS;õn;N,SG,DAT;0.000187688
da;>;INS;nmõt;V,LGSPEC4;0.000187511
lī;>;DEL;dõ;V,ACT,FIN,IND,POS,PRS,SG,3;0.000187295
ū;>;INS;dõn;N,PL,DAT;0.000185759
š;>;INS;īdõn;ADJ,PL,DAT;0.000185622
kõz;>;INS;is;N,PL,IN+ESS;0.000184125
z;>;INS;ndõs;ADJ,SG,IN+ESS;0.000182269
kuoț;>;INS;īs;N,PL,IN+ESS;0.000181838
st;>;INS;õ;N,SG,IN+ALL;0.000181225
ng;>;INS;t;N,SG,PRT;0.000181092
p;a>;DEL;ānd;V,ACT,FIN,IMP,PRS,NEG,SG,2;0.000180234
<;a>;DEL;tūld;V,ACT,FIN,LGSPEC1,NEG,PRS,PL,1;0.000180102
ežmi;>;INS;ztõn;ADJ,PL,DAT;0.000178064
d;>;DEL;a;V,ACT,FIN,LGSPEC1,POS,PRS,PL,2;0.000176363
a;>;INS;õ;N,SG,PRT;0.000176233
ūlõ;>;INS;s;V,LGSPEC2;0.000175971
lli;>;INS;īzõst;ADJ,SG,IN+ABL;0.000175791
<;>;DEL;vȱlda;V,ACT,FIN,IND,NEG,PRS,SG,3;0.000175189
äl;>;INS;stõ;N,SG,IN+ABL;0.000174619
vȱlda;>;INS;ȯļmõ;V,ACT,FIN,IND,POS,PST,PL,1;0.000173468
mīe;>;DEL;z;N,SG,IN+ESS;0.000172118
ǟ;dõ>;INS;ēji;V,ACT,FIN,QUOT,POS,PRS,PL,3;0.000171487
z;>;INS;ist;N,PL,IN+ABL;0.000171218
ā;>;DEL;z;ADJ,SG,IN+ESS;0.000171091
ī;>;DEL;z;N,PL,IN+ESS;0.000170879
a;>;INS;nmõt;V,LGSPEC4;0.000170668
ž;>;INS;ži;N,PL,PRT;0.000170541
īez;>;INS;d;N,PL,GEN;0.000168266
ȱlda;>;INS;ȯļmõ;V,ACT,FIN,IND,POS,PST,PL,1;0.00016765
nda;>;INS;nnõd;V,ACT,FIN,IND,NEG,FUT,PRF,PL,1;0.00016744
uoț;>;INS;īd;N,PL,NOM;0.000167268
r;>;INS;õdõn;N,PL,DAT;0.000166136
m;>;INS;iž;ADJ,PL,IN+ALL;0.000165985
m;>;DEL;īez;N,PL,IN+ESS;0.000165862
ž;>;INS;äd;N,SG,GEN;0.000165682
joutõmläpš;>;INS;īz;N,PL,IN+ALL;0.000164612
ep;>;DEL;ǟva;N,SG,PRT;0.000162001
as;>;INS;sõst;N,SG,IN+ABL;0.000161881
li;>;INS;īzõst;ADJ,SG,IN+ABL;0.000161686
ā;>;INS;nõ;N,SG,PRT;0.000161266
m;>;INS;õn;N,SG,DAT;0.000161146
t;>;INS;õ;N,SG,IN+ALL;0.000160998
l;>;INS;stõ;N,SG,IN+ABL;0.000160823
entāl;>;INS;õks;N,SG,INS;0.00016042
dāz;>;INS;ndõdõks;ADJ,PL,INS;0.000159007
tāl;>;INS;õks;N,SG,INS;0.000158841
kū;>;INS;stõ;N,SG,IN+ABL;0.000158197
l;>;DEL;lõ;V,ACT,FIN,IND,NEG,PST,SG,2;0.000156479
t;>;DEL;ūlda;V,ACT,FIN,IMP,PRS,POS,SG,2;0.000155845
lõ;>;INS;s;V,LGSPEC2;0.000155355
õz;>;INS;is;N,PL,IN+ESS;0.000155239
īe;>;DEL;z;N,PL,GEN;0.000155013
ǟd;>;DEL;õ;V,ACT,FIN,IND,POS,FUT,PRF,PL,2;0.000154788
ūļ;>;INS;ld;N,PL,GEN;0.000152831
sõ;>;DEL;nā;N,PL,IN+ESS;0.00015238
ī;>;DEL;dõ;V,ACT,FIN,IND,POS,PRS,SG,3;0.000151776
õz;>;INS;ndõd;ADJ,PL,GEN;0.000151403
nǟd;>;DEL;õ;V,ACT,FIN,IND,POS,FUT,PRF,PL,2;0.000151024
õz;>;INS;ndidi;ADJ,PL,PRT;0.000150806
ij;>;INS;õ;N,SG,IN+ALL;0.000148932
ntāl;>;INS;õks;N,SG,INS;0.000147651
õ;>;INS;s;V,LGSPEC2;0.000147374
i;>;INS;īzõst;ADJ,SG,IN+ABL;0.000147183
outõmläpš;>;INS;īz;N,PL,IN+ALL;0.000146087
īdõkssadā;>;DEL;z;ADJ,PL,IN+ABL;0.000145963
lda;>;INS;ȯļmõ;V,ACT,FIN,IND,POS,PST,PL,1;0.000143777
āz;>;INS;ndõdõks;ADJ,PL,INS;0.000143419
mi;>;INS;ztõn;ADJ,PL,DAT;0.000143311
p;>;DEL;ǟva;N,SG,PRT;0.000142908
z;>;INS;is;N,PL,IN+ESS;0.000142802
e;>;DEL;z;N,PL,GEN;0.000142561
e;>;INS;sõ;N,SG,IN+ESS;0.000142349
z;>;INS;ndõks;ADJ,SG,INS;0.000138964
s;>;INS;sõst;N,SG,IN+ABL;0.000138699
a;>;INS;nnõd;V,ACT,FIN,IND,NEG,FUT,PRF,PL,1;0.000138568
z;>;INS;ndõdõks;ADJ,PL,INS;0.000138411
p;>;DEL;ǟva;N,PL,PRT;0.00013805
īe;>;INS;sõ;N,SG,IN+ESS;0.000137367
a;>;INS;s;N,SG,IN+ESS;0.000136807
z;>;INS;ndt;ADJ,SG,PRT;0.000136624
õ;>;DEL;z;ADJ,SG,INS;0.000136054
z;>;INS;ndis;ADJ,PL,IN+ESS;0.00013587
g;>;INS;st;N,SG,IN+ABL,LGSPEC6;0.000135768
utõmläpš;>;INS;īz;N,PL,IN+ALL;0.000135266
õ;>;DEL;z;ADJ,SG,DAT;0.000134927
a;>;INS;d;N,PL,NOM;0.000134396
z;>;INS;õn;N,SG,DAT;0.000134033
i;>;INS;ztõn;ADJ,PL,DAT;0.000133594
tuoistõn;>;DEL;z;ADJ,SG,GEN;0.000130221
ț;>;INS;īd;N,PL,NOM;0.000129829
blēḑ;>;INS;šõ;ADJ,SG,IN+ESS;0.00012885
tint;>;INS;õdõks;N,PL,INS;0.000128753
õkssadā;>;DEL;z;ADJ,PL,IN+ABL;0.000126899
da;>;INS;ȯļmõ;V,ACT,FIN,IND,POS,PST,PL,1;0.000126203
lī;>;DEL;dõ;V,ACT,FIN,IND,NEG,PST,SG,2;0.000126074
mōmīez;>;INS;ēži;N,PL,IN+ALL;0.000122263
a;>;INS;ȯļmõ;V,ACT,FIN,IND,POS,PST,PL,1;0.000122106
jel;>;DEL;lõ;V,ACT,FIN,IND,NEG,PST,SG,1;0.000121953
dtuoistõnz;>;INS;dst;ADJ,SG,IN+ABL,LGSPEC6;0.000121137
ab;>;INS;ūd;N,PL,GEN;0.000120916
d;>;DEL;õ;V,ACT,FIN,IND,POS,FUT,PRF,PL,2;0.000118255
tuoistõnz;>;INS;dõ;ADJ,SG,IN+ALL;0.000117139
oktōbõr;>;INS;d;N,PL,NOM;0.000117031
dõkssadāz;>;INS;ndõ;ADJ,SG,IN+ALL;0.00011667
īe;>;INS;kõks;N,SG,INS;0.000115811
lilla;>;INS;is;ADJ,PL,IN+ESS;0.000115559
int;>;INS;õdõks;N,PL,INS;0.000115113
mläpš;>;INS;īz;N,PL,IN+ALL;0.000114626
märts;>;INS;õd;N,PL,GEN;0.00011454
ssadā;>;DEL;z;ADJ,PL,IN+ABL;0.000114443
e;>;INS;kõks;N,SG,INS;0.000113919
b;>;INS;ūd;N,PL,GEN;0.000113833
kaffe;>;INS;dõks;N,PL,INS;0.00011344
ōmīez;>;INS;ēži;N,PL,IN+ALL;0.0001126
uoistõnz;>;INS;didi;ADJ,PL,PRT;0.00011218
uoistõnz;>;INS;diž;ADJ,PL,IN+ALL;0.000111753
uoistõnz;>;INS;dõs;ADJ,SG,IN+ESS;0.000111606
vȱl;da>;INS;ȯļļi;V,ACT,FIN,QUOT,POS,PRS,PL,3;0.000111515
<;lda>;DEL;tū;V,ACT,FIN,IND,POS,FUT,PRF,PL,1;0.000110731
kū;ora>;INS;u;N,SG,IN+ALL;0.000110592
ktōbõr;>;INS;d;N,PL,NOM;0.000110221
el;>;DEL;lõ;V,ACT,FIN,IND,NEG,PST,SG,1;0.000109763
ī;>;DEL;dõ;V,ACT,FIN,IND,NEG,PST,SG,2;0.00010951
mtuoistõnz;>;INS;ds;ADJ,SG,IN+ESS,LGSPEC6;0.000109355
ougu;st>;INS;st;N,SG,IN+ABL,LGSPEC6;0.000108928
tuoistõnz;>;INS;ds;ADJ,SG,IN+ESS,LGSPEC6;0.000108665
april;>;INS;idi;N,PL,PRT;0.000108557
affe;>;INS;dõks;N,PL,INS;0.000108378
illa;>;INS;is;ADJ,PL,IN+ESS;0.000108296
uoistõn;>;DEL;z;ADJ,SG,IN+ABL,LGSPEC6;0.000107769
ǟdlõ;>;INS;d;V,PASS,V.PTCP;0.000107581
<vȱlda;>;INS;ȯlkstõ;V,ACT,FIN,COND,POS,PRS,PL,2;0.000107401
sadā;>;DEL;z;ADJ,PL,IN+ABL;0.000106877
tōbõr;>;INS;d;N,PL,NOM;0.000105808
<jemā;>;INS;mõ;N,SG,PRT;0.000105728
pānda;>;INS;ngõ;V,ACT,FIN,LGSPEC1,NEG,PRS,SG,1;0.000105643
ȱl;da>;INS;ȯļļi;V,ACT,FIN,QUOT,POS,PRS,PL,3;0.000105477
ḑ;>;INS;šõ;ADJ,SG,IN+ESS;0.000104944
t;>;INS;õdõks;N,PL,INS;0.000104865
pril;>;INS;idi;N,PL,PRT;0.000104704
ugu;st>;INS;st;N,SG,IN+ABL,LGSPEC6;0.000104531
rts;>;INS;õd;N,PL,GEN;0.000104373
dsadāz;>;INS;ndõdõks;ADJ,PL,INS;0.000104253
ū;ora>;INS;u;N,SG,IN+ALL;0.000103851
pōr;>;INS;õ;N,SG,IN+ALL;0.000103753
ēḑ;>;INS;šõ;ADJ,SG,IN+ESS;0.000103321
ffe;>;INS;dõks;N,PL,INS;0.000103213
lik;>;DEL;kõ;V,ACT,FIN,IND,POS,PST,SG,2;0.000103129
ominatīv;>;INS;õks;N,SG,INS;0.000102913
lla;>;INS;is;ADJ,PL,IN+ESS;0.000102597
īez;>;INS;ēži;N,PL,IN+ALL;0.000102517
vȱlda;>;INS;ȯlkstõ;V,ACT,FIN,COND,POS,PRS,PL,2;0.000102253
likkõ;>;INS;īzt;V,ACT,FIN,IND,POS,PST,SG,2;0.00010217
knaš;>;INS;šõ;ADJ,SG,PRT;0.000102021
jemā;>;INS;mõ;N,SG,PRT;0.000101944
dlõ;>;INS;d;V,PASS,V.PTCP;0.000101753
ōbõr;>;INS;d;N,PL,NOM;0.000101267
<nǟd;>;DEL;õ;V,ACT,FIN,IND,POS,FUT,PRF,SG,2;0.000101191
gu;st>;INS;st;N,SG,IN+ABL,LGSPEC6;0.00010111
all;i>;INS;īž;N,PL,PRT;0.000101034
msõnā;>;INS;d;N,PL,NOM;0.000100734
l;da>;INS;ȯļļi;V,ACT,FIN,QUOT,POS,PRS,PL,3;0.000100544
<jel;>;DEL;lõ;V,ACT,FIN,IND,NEG,PST,SG,1;0.00010036
ānda;>;INS;ngõ;V,ACT,FIN,LGSPEC1,NEG,PRS,SG,1;0.000100213
je;lõ>;DEL;l;V,ACT,FIN,LGSPEC1,POS,PRS,PL,3;0.00010013
jel;>;DEL;lõ;V,ACT,FIN,IND,NEG,PST,PL,1;9.9869e-05
oistõnz;>;INS;ds;ADJ,SG,IN+ESS,LGSPEC6;9.9776e-05
jellõ;>;INS;āg;V,ACT,FIN,LGSPEC1,NEG,PRS,SG,1;9.96449e-05
<ǟma;>;INS;ist;N,PL,IN+ABL;9.93215e-05
alli;>;INS;īzõs;ADJ,SG,IN+ESS;9.92428e-05
ril;>;INS;idi;N,PL,PRT;9.91224e-05
l;>;DEL;lõ;V,ACT,FIN,IND,NEG,PST,SG,1;9.90453e-05
nǟd;>;DEL;õ;V,ACT,FIN,IND,POS,FUT,PRF,SG,2;9.89702e-05
naš;>;INS;šõ;ADJ,SG,PRT;9.88955e-05
e;lõ>;DEL;l;V,ACT,FIN,LGSPEC1,POS,PRS,PL,3;9.87941e-05
instrumentāl;>;INS;õs;N,SG,IN+ESS,LGSPEC6;9.8696e-05
ōr;>;INS;õ;N,SG,IN+ALL;9.86153e-05
ts;>;INS;õd;N,PL,GEN;9.85409e-05
uoț;>;INS;īs;N,PL,IN+ESS;9.8356e-05
pš;>;INS;īz;N,PL,IN+ALL;9.81391e-05
ik;>;DEL;kõ;V,ACT,FIN,IND,POS,PST,SG,2;9.80595e-05
ǟma;>;INS;ist;N,PL,IN+ABL;9.79275e-05
alīz;>;INS;tõn;ADJ,PL,DAT;9.77687e-05
<lik;>;DEL;kõ;V,ACT,FIN,IND,POS,PRS,SG,3;9.7695e-05
ȱlda;>;INS;ȯlkstõ;V,ACT,FIN,COND,POS,PRS,PL,2;9.76212e-05
fe;>;INS;dõks;N,PL,INS;9.74437e-05
la;>;INS;is;ADJ,PL,IN+ESS;9.73701e-05
lõ;>;INS;d;V,PASS,V.PTCP;9.7293e-05
<īe;>;INS;kõks;N,SG,INS;9.69818e-05
lēḑ;>;INS;šõ;ADJ,SG,IN+ESS;9.69086e-05
il;>;INS;idi;N,PL,PRT;9.68201e-05
ikkõ;>;INS;īzt;V,ACT,FIN,IND,POS,PST,SG,2;9.66053e-05
ez;>;INS;ēži;N,PL,IN+ALL;9.6429e-05
dā;>;DEL;z;ADJ,PL,IN+ABL;9.63562e-05
<k;>;DEL;ež;N,SG,IN+ABL;9.62835e-05
el;>;DEL;lõ;V,ACT,FIN,IND,NEG,PST,PL,1;9.6209e-05
bõr;>;INS;d;N,PL,NOM;9.6112e-05
emā;>;INS;mõ;N,SG,PRT;9.60395e-05
nda;>;INS;ngõ;V,ACT,FIN,LGSPEC1,NEG,PRS,SG,1;9.59643e-05
u;st>;INS;st;N,SG,IN+ABL,LGSPEC6;9.58919e-05
ll;i>;INS;īž;N,PL,PRT;9.58195e-05
mȭk;>;DEL;a;N,PL,IN+ALL;9.57393e-05
lda;>;INS;ȯlkstõ;V,ACT,FIN,COND,POS,PRS,PL,2;9.5667e-05
istõnz;>;INS;ds;ADJ,SG,IN+ESS,LGSPEC6;9.5558e-05
õz;>;INS;ndõdõks;ADJ,PL,INS;9.52354e-05
pǟva;>;INS;dõn;N,PL,DAT;9.5155e-05
sõnā;>;INS;d;N,PL,NOM;9.50469e-05
nstrumentāl;>;INS;õs;N,SG,IN+ESS,LGSPEC6;9.47545e-05
k;>;DEL;ež;N,SG,IN+ABL;9.46233e-05
stõnz;>;INS;ds;ADJ,SG,IN+ESS,LGSPEC6;9.45483e-05
tidār;>;INS;ŗis;N,PL,IN+ESS;9.44769e-05
mā;>;INS;mõ;N,SG,PRT;9.43202e-05
ärb;>;INS;õ;N,SG,PRT;9.42409e-05
lī;>;DEL;dõ;V,ACT,FIN,IND,POS,PRS,PL,1;9.41689e-05
līz;>;INS;tõn;ADJ,PL,DAT;9.37541e-05
lik;>;DEL;kõ;V,ACT,FIN,IND,POS,PRS,SG,3;9.36833e-05
ǟd;>;DEL;õ;V,ACT,FIN,IND,POS,FUT,PRF,SG,2;9.3484e-05
lǟ;>;DEL;dõ;V,ACT,FIN,IMP,PRS,NEG,SG,2;9.34134e-05
ik;>;DEL;kõ;V,ACT,FIN,IND,POS,PRS,SG,3;9.33288e-05
li;>;INS;īzõs;ADJ,SG,IN+ESS;9.32583e-05
blēḑ;>;INS;õdõn;N,PL,DAT;9.30568e-05
r;>;INS;õ;N,SG,IN+ALL;9.29275e-05
e;>;INS;dõks;N,PL,INS;9.28573e-05
õ;>;INS;d;V,PASS,V.PTCP;9.27838e-05
õr;>;INS;d;N,PL,NOM;9.26818e-05
aš;>;INS;šõ;ADJ,SG,PRT;9.26118e-05
l;i>;INS;īž;N,PL,PRT;9.25383e-05
a;>;INS;is;ADJ,PL,IN+ESS;9.23519e-05
k;>;DEL;kõ;V,ACT,FIN,IND,POS,PST,SG,2;9.22799e-05
msõ;>;DEL;nā;N,PL,IN+ABL;9.2175e-05
mdõ;>;DEL;z;ADJ,PL,IN+ABL;9.20563e-05
z;>;INS;ēži;N,PL,IN+ALL;9.19173e-05
llõ;>;INS;āg;V,ACT,FIN,LGSPEC1,NEG,PRS,SG,1;9.18004e-05
kkõ;>;INS;īzt;V,ACT,FIN,IND,POS,PST,SG,2;9.1731e-05
ā;>;DEL;z;ADJ,PL,IN+ABL;9.15559e-05
minatīv;>;INS;õks;N,SG,INS;9.14495e-05
īz;>;INS;tõn;ADJ,PL,DAT;9.13686e-05
ǟ;>;DEL;dõ;V,ACT,FIN,IMP,PRS,NEG,SG,2;9.11912e-05
ma;>;INS;ist;N,PL,IN+ABL;9.09997e-05
da;>;INS;ngõ;V,ACT,FIN,LGSPEC1,NEG,PRS,SG,1;9.09309e-05
ȭk;>;DEL;a;N,PL,IN+ALL;9.08605e-05
da;>;INS;ȯlkstõ;V,ACT,FIN,COND,POS,PRS,PL,2;9.07918e-05
oŗ;>;INS;īd;N,PL,NOM;9.07198e-05
lõ;>;INS;āg;V,ACT,FIN,LGSPEC1,NEG,PRS,SG,1;9.06513e-05
l;>;DEL;lõ;V,ACT,FIN,IND,NEG,PST,PL,1;9.05635e-05
p;>;DEL;ǟ;N,PL,IN+ABL;9.04764e-05
trumentāl;>;INS;õs;N,SG,IN+ESS,LGSPEC6;9.04031e-05
uoist;õnz>;INS;õnd;ADJ,SG,DAT;9.02539e-05
tõnz;>;INS;ds;ADJ,SG,IN+ESS,LGSPEC6;9.01642e-05
idār;>;INS;ŗis;N,PL,IN+ESS;9.0096e-05
pȯ;is>;INS;ūoš;N,PL,IN+ESS;9.00106e-05
t;>;DEL;ūlda;V,ACT,FIN,LGSPEC1,POS,PRS,SG,1;8.99115e-05
<p;>;DEL;ǟ;N,PL,IN+ABL;8.98099e-05
ū;>;DEL;ļ;N,SG,PRT;8.96302e-05
dõ;>;INS;b;V,ACT,FIN,IND,POS,PRS,SG,1;8.95275e-05
kõ;>;INS;īzt;V,ACT,FIN,IND,POS,PST,SG,2;8.93769e-05
rb;>;INS;õ;N,SG,PRT;8.93094e-05
inatīv;>;INS;õks;N,SG,INS;8.92407e-05
lī;>;DEL;dõ;V,ACT,FIN,QUOT,POS,PRS,SG,1;8.9171e-05
d;õ>;INS;m;V,ACT,FIN,DEB,POS,PRS,PL,2;8.90105e-05
ij;>;INS;stõ;N,SG,IN+ABL;8.89086e-05
unādkuoț;>;INS;īdõn;N,PL,DAT;8.88203e-05
seissadā;>;DEL;z;ADJ,PL,IN+ESS;8.87522e-05
r;>;INS;d;N,PL,NOM;8.86782e-05
d;>;DEL;õ;V,ACT,FIN,IND,POS,FUT,PRF,SG,2;8.86112e-05
š;>;INS;šõ;ADJ,SG,PRT;8.85442e-05
dār;>;INS;ŗis;N,PL,IN+ESS;8.84759e-05
kū;>;INS;dkõks;N,PL,INS;8.8404e-05
z;>;INS;tõn;ADJ,PL,DAT;8.83371e-05
mõ;>;DEL;z;ADJ,PL,DAT;8.82203e-05
<ū;>;DEL;ļ;N,SG,PRT;8.81437e-05
kū;>;INS;d;N,PL,NOM;8.80704e-05
kū;>;INS;zõ;N,SG,IN+ALL;8.79943e-05
īe;>;INS;n;N,SG,DAT;8.7922e-05
õr;>;INS;d;N,PL,GEN;8.78545e-05
ā;>;INS;mõ;N,SG,PRT;8.77309e-05
ī;>;DEL;dõ;V,ACT,FIN,IND,POS,PRS,PL,1;8.76635e-05
k;>;DEL;a;N,PL,IN+ALL;8.75941e-05
ŗ;>;INS;īd;N,PL,NOM;8.75236e-05
kū;>;INS;kõks;N,SG,INS;8.73784e-05
lī;>;DEL;dõ;V,ACT,FIN,IND,NEG,PRS,PL,1;8.72562e-05
natīv;>;INS;õks;N,SG,INS;8.70536e-05
a;>;INS;ngõ;V,ACT,FIN,LGSPEC1,NEG,PRS,SG,1;8.6978e-05
k;>;DEL;kõ;V,ACT,FIN,IND,POS,PRS,SG,3;8.69112e-05
i;>;INS;īzõs;ADJ,SG,IN+ESS;8.68455e-05
õ;>;INS;āg;V,ACT,FIN,LGSPEC1,NEG,PRS,SG,1;8.67777e-05
b;>;INS;õ;N,SG,PRT;8.67121e-05
rōza;>;INS;idi;ADJ,PL,PRT;8.66318e-05
dtuoistõn;>;DEL;z;ADJ,PL,PRT;8.65384e-05
ēḑ;>;INS;õdõn;N,PL,DAT;8.6444e-05
nādkuoț;>;INS;īdõn;N,PL,DAT;8.62994e-05
ōza;>;INS;idi;ADJ,PL,PRT;8.61703e-05
umentāl;>;INS;õs;N,SG,IN+ESS,LGSPEC6;8.60671e-05
õ;>;INS;īzt;V,ACT,FIN,IND,POS,PST,SG,2;8.59723e-05
ī;>;DEL;dõ;V,ACT,FIN,IND,NEG,PRS,PL,1;8.59052e-05
a;>;INS;dõn;N,PL,DAT;8.58364e-05
za;>;INS;idi;ADJ,PL,PRT;8.57653e-05
õ;>;INS;st;V,ACT,FIN,DEB,POS,PRS,PL,2;8.5696e-05
õ;>;INS;g;V,ACT,FIN,LGSPEC1,POS,PRS,SG,3;8.56002e-05
g;>;INS;õks;N,SG,INS;8.55342e-05
l;>;INS;õdõks;N,PL,INS;8.54366e-05
j;>;INS;d;N,PL,NOM;8.53525e-05
āigast;>;INS;iž;N,PL,IN+ALL;8.52696e-05
r;>;INS;d;N,PL,GEN;8.5201e-05
a;>;INS;ks;N,SG,INS;8.51165e-05
uoistõnz;>;INS;dõd;ADJ,PL,NOM;8.50326e-05
tuoi;>;INS;žist;ADJ,PL,IN+ABL;8.49481e-05
atīv;>;INS;õks;N,SG,INS;8.48839e-05
immõ;>;DEL;z;ADJ,SG,DAT;8.48164e-05
ār;>;INS;ŗis;N,PL,IN+ESS;8.47124e-05
nz;>;INS;ds;ADJ,SG,IN+ESS,LGSPEC6;8.46484e-05
ȯl;>;INS;lõdõks;N,PL,INS;8.45764e-05
uoi;>;INS;žist;ADJ,PL,IN+ABL;8.44956e-05
jel;>;DEL;lõ;V,ACT,FIN,IND,NEG,PRS,SG,2;8.4427e-05
ȯ;is>;INS;ūoš;N,PL,IN+ESS;8.43631e-05
ī;>;DEL;dõ;V,ACT,FIN,QUOT,POS,PRS,SG,1;8.42762e-05
r;>;INS;ŗis;N,PL,IN+ESS;8.42124e-05
ḑ;>;INS;õdõn;N,PL,DAT;8.41487e-05
<võțīm;>;INS;is;N,PL,IN+ESS;8.40289e-05
ādkuoț;>;INS;īdõn;N,PL,DAT;8.39653e-05
dattõd;>;INS;õks;N,PL,INS;8.39013e-05
uoistõn;>;DEL;z;ADJ,PL,INS;8.38271e-05
prepozītsij;>;INS;d;N,PL,NOM;8.372e-05
uoistõn;>;DEL;z;ADJ,PL,NOM;8.36157e-05
oi;>;INS;žist;ADJ,PL,IN+ABL;8.35423e-05
janvār;>;INS;idi;N,PL,PRT;8.34437e-05
vȱlda;>;INS;ȯļļi;V,ACT,FIN,QUOT,POS,PRS,SG,3;8.33126e-05
sadāz;>;INS;ndõst;ADJ,SG,IN+ABL;8.32353e-05
tīv;>;INS;õks;N,SG,INS;8.31662e-05
võțīm;>;INS;is;N,PL,IN+ESS;8.30748e-05
repozītsij;>;INS;d;N,PL,NOM;8.29765e-05
igast;>;INS;iž;N,PL,IN+ALL;8.29007e-05
attõd;>;INS;õks;N,PL,INS;8.28369e-05
mõ;>;DEL;z;ADJ,SG,DAT;8.2761e-05
el;>;DEL;lõ;V,ACT,FIN,IND,NEG,PRS,SG,2;8.26984e-05
z;>;INS;ds;ADJ,SG,IN+ESS,LGSPEC6;8.26042e-05
i;>;INS;žist;ADJ,PL,IN+ABL;8.25407e-05
ssadā;>;DEL;z;ADJ,PL,IN+ESS;8.24759e-05
<;lda>;DEL;tū;V,ACT,FIN,IND,NEG,FUT,PRF,SG,1;8.24039e-05
je;lõ>;DEL;l;V,ACT,FIN,LGSPEC1,NEG,PRS,PL,2;8.22774e-05
<lī;dõ>;INS;ji;V,ACT,FIN,QUOT,POS,PRS,PL,3;8.21927e-05
likkõ;>;INS;g;V,ACT,FIN,LGSPEC1,POS,PRS,SG,3;8.21305e-05
pānda;>;INS;nnõd;V,ACT,FIN,IND,POS,FUT,PRF,PL,3;8.20207e-05
gast;>;INS;iž;N,PL,IN+ALL;8.19344e-05
nǟdõ;>;INS;eiz;V,ACT,FIN,IND,POS,PST,SG,3;8.18724e-05
pozītsij;>;INS;d;N,PL,NOM;8.18073e-05
vȯl;>;INS;lõdõks;N,PL,INS;8.17329e-05
anvār;>;INS;idi;N,PL,PRT;8.16638e-05
tint;>;INS;õn;N,SG,DAT;8.15915e-05
blēḑ;>;INS;štõ;N,SG,IN+ABL;8.15297e-05
kimmõ;>;DEL;z;ADJ,SG,DAT;8.14575e-05
ūlda;>;INS;uļ;V,ACT,FIN,IND,POS,PST,SG,1;8.13753e-05
knaš;>;INS;šõs;ADJ,SG,IN+ESS;8.13138e-05
kuoț;>;INS;īdõn;N,PL,DAT;8.1252e-05
sadā;>;DEL;z;ADJ,PL,IN+ESS;8.11901e-05
ikkõ;>;INS;g;V,ACT,FIN,LGSPEC1,POS,PRS,SG,3;8.1128e-05
ȱlda;>;INS;ȯļļi;V,ACT,FIN,QUOT,POS,PRS,SG,3;8.10359e-05
õțīm;>;INS;is;N,PL,IN+ESS;8.09746e-05
nūoŗ;>;INS;rsõ;ADJ,SG,IN+ESS;8.09133e-05
ttõd;>;INS;õks;N,PL,INS;8.08519e-05
lī;dõ>;INS;ji;V,ACT,FIN,QUOT,POS,PRS,PL,3;8.07903e-05
partitīv;>;INS;õ;N,SG,PRT;8.06986e-05
lǟdõ;>;INS;b;V,ACT,FIN,IND,POS,PRS,SG,1;8.0637e-05
ntāl;>;INS;õs;N,SG,IN+ESS,LGSPEC6;8.05445e-05
kimdõ;>;DEL;z;ADJ,SG,GEN;8.04722e-05
ǟdõ;>;INS;eiz;V,ACT,FIN,IND,POS,PST,SG,3;8.03961e-05
ānda;>;INS;nnõd;V,ACT,FIN,IND,POS,FUT,PRF,PL,3;8.03306e-05
kūl;õ>;INS;d;V,PASS,V.PTCP;8.02699e-05
atrāit;>;DEL;a;N,PL,PRT;8.0173e-05
v;>;INS;õks;N,SG,INS;8.01123e-05
ī;dõ>;INS;ji;V,ACT,FIN,QUOT,POS,PRS,PL,3;8.00504e-05
latīv;>;INS;st;N,SG,IN+ABL;7.99796e-05
lēḑ;>;INS;štõ;N,SG,IN+ABL;7.99102e-05
all;i>;INS;īž;N,PL,IN+ESS;7.98446e-05
mǟdlõ;>;INS;gõd;V,ACT,FIN,LGSPEC1,NEG,PRS,PL,2;7.97827e-05
artitīv;>;INS;õ;N,SG,PRT;7.97202e-05
lda;>;INS;uļ;V,ACT,FIN,IND,POS,PST,SG,1;7.96493e-05
naš;>;INS;šõs;ADJ,SG,IN+ESS;7.95891e-05
uoț;>;INS;īdõn;N,PL,DAT;7.95287e-05
țīm;>;INS;is;N,PL,IN+ESS;7.94685e-05
ūoŗ;>;INS;rsõ;ADJ,SG,IN+ESS;7.94084e-05
ūl;õ>;INS;d;V,PASS,V.PTCP;7.9347e-05
lda;>;INS;ȯļļi;V,ACT,FIN,QUOT,POS,PRS,SG,3;7.92685e-05
e;lõ>;DEL;l;V,ACT,FIN,LGSPEC1,NEG,PRS,PL,2;7.92084e-05
